file_name,btl,btr,bbr,bbl,obj_0,obj_1,obj_2
1127,0.311414,0.509305,0.198511,0.378412,1,0,0
4372,0.270681,0.440998,0.096107,0.324818,1,0,0
4372,0.435523,0.441606,0.138686,0.379562,1,0,0
3407,0.533774,0.536344,0.220264,0.486784,1,0,0
7548,0.560204,0.486888,0.188265,0.429286,1,0,0
7548,0.612755,0.305153,0.078061,0.060714,0,1,0
7548,0.535204,0.441378,0.133163,0.177041,0,0,1
5923,0.400398,0.388446,0.111554,0.314741,1,0,0
3459,0.465605,0.428025,0.155414,0.412739,1,0,0
7029,0.460074,0.483415,0.18059,0.45086,1,0,0
7029,0.585381,0.493243,0.111794,0.42629,1,0,0
7029,0.855651,0.616708,0.256757,0.321867,1,0,0
7029,0.506143,0.296069,0.076167,0.066339,0,1,0
7029,0.429975,0.423833,0.100737,0.213759,0,0,1
7564,0.5043,0.493243,0.160934,0.436118,1,0,0
7564,0.504297,0.471744,0.153906,0.203931,0,0,1
4785,0.385749,0.391278,0.137592,0.318182,1,0,0
6804,0.42665,0.495721,0.122249,0.41687,1,0,0
6804,0.57824,0.290954,0.066015,0.046455,0,1,0
6804,0.55868,0.429095,0.154034,0.183374,0,0,1
6804,0.55868,0.463325,0.161369,0.396088,1,0,0
4688,0.426845,0.409934,0.12747,0.372749,1,0,0
2972,0.743488,0.617214,0.305776,0.328426,1,0,0
4825,0.420147,0.406634,0.132678,0.371007,1,0,0
4999,0.260768,0.461603,0.088481,0.392321,1,0,0
4999,0.790818,0.714524,0.367279,0.160267,1,0,0
2372,0.220951,0.604754,0.258803,0.389085,1,0,0
1883,0.305773,0.577113,0.274109,0.397898,1,0,0
1883,0.231992,0.459516,0.121578,0.158047,0,1,0
3448,0.398311,0.404185,0.103524,0.376652,1,0,0
7482,0.524938,0.467907,0.162562,0.42473,1,0,0
7482,0.563116,0.292796,0.080049,0.06835,0,1,0
7482,0.51016,0.430111,0.126847,0.154557,0,0,1
5995,0.845902,0.618241,0.209163,0.314456,1,0,0
5995,0.519351,0.451679,0.119522,0.368355,1,0,0
5995,0.411155,0.484462,0.106773,0.446215,1,0,0
5995,0.408765,0.434263,0.097211,0.176892,0,0,1
5995,0.515936,0.389243,0.10757,0.101195,0,0,1
5995,0.542629,0.301992,0.065339,0.065339,0,1,0
5525,0.514607,0.539326,0.191011,0.462921,1,0,0
5525,0.423596,0.431461,0.157303,0.4,1,0,0
5525,0.423596,0.391011,0.121348,0.175281,0,0,1
158,0.554668,0.503686,0.242015,0.410319,1,0,0
158,0.58231,0.339066,0.095823,0.058968,0,1,0
158,0.55774,0.530098,0.157248,0.202703,0,0,1
4220,0.267109,0.440078,0.103125,0.335156,1,0,0
4220,0.380391,0.392813,0.107813,0.346875,1,0,0
4220,0.460469,0.4225,0.130469,0.38125,1,0,0
1023,0.296484,0.460547,0.139844,0.332031,1,0,0
4431,0.268856,0.436131,0.099757,0.327251,1,0,0
7446,0.523214,0.469196,0.158036,0.447321,1,0,0
7446,0.557143,0.280357,0.079464,0.060714,0,1,0
7446,0.515179,0.43125,0.13125,0.157143,0,0,1
4260,0.270234,0.44625,0.098437,0.325,1,0,0
4260,0.549531,0.519375,0.161719,0.129688,0,1,0
4260,0.586641,0.681406,0.207813,0.189062,0,0,1
4260,0.579609,0.613828,0.234375,0.327344,1,0,0
1257,0.169355,0.635236,0.266749,0.325062,1,0,0
5163,0.429638,0.442404,0.127664,0.448787,1,0,0
1175,0.111663,0.653846,0.218362,0.263027,1,0,0
1066,0.25625,0.610156,0.217188,0.364063,1,0,0
1066,0.320313,0.501563,0.164063,0.31875,1,0,0
1504,0.3125,0.488462,0.209615,0.398077,1,0,0
1504,0.241346,0.325,0.055769,0.067308,0,1,0
1504,0.318269,0.410577,0.132692,0.161538,0,0,1
6840,0.572127,0.287286,0.090465,0.070905,0,1,0
6840,0.542176,0.443154,0.143032,0.182152,0,0,1
6840,0.540954,0.477995,0.162592,0.459658,1,0,0
7131,0.897247,0.627401,0.205506,0.309859,1,0,0
7131,0.570423,0.448143,0.15621,0.135723,0,1,0
7131,0.485275,0.674136,0.18822,0.211268,0,0,1
7131,0.519206,0.580666,0.258643,0.400768,1,0,0
7131,0.576825,0.448784,0.12548,0.349552,1,0,0
1820,0.22098,0.448336,0.124914,0.142094,0,1,0
1820,0.297758,0.577254,0.289922,0.409102,1,0,0
1820,0.383727,0.6585,0.111406,0.242688,0,0,1
3914,0.432422,0.333984,0.110156,0.178906,0,0,1
3914,0.435547,0.408984,0.122656,0.388281,1,0,0
5545,0.506742,0.567416,0.229213,0.424719,1,0,0
5545,0.507865,0.55618,0.204494,0.231461,0,0,1
4443,0.267032,0.434915,0.09854,0.317518,1,0,0
4443,0.422749,0.399027,0.091241,0.357664,1,0,0
385,0.585631,0.510224,0.1922,0.455948,1,0,0
385,0.644202,0.319427,0.069444,0.071549,0,1,0
385,0.558274,0.462525,0.129068,0.187991,0,0,1
385,0.65262,0.585631,0.281285,0.390713,1,0,0
385,0.650866,0.630875,0.273569,0.296016,0,0,1
2066,0.327427,0.507924,0.125468,0.335681,1,0,0
6920,0.522113,0.463759,0.137592,0.367322,1,0,0
6920,0.557125,0.554668,0.217445,0.460688,1,0,0
2955,0.519253,0.587203,0.208381,0.381653,1,0,0
2955,0.255946,0.4547,0.089468,0.372593,1,0,0
6470,0.410198,0.502777,0.118217,0.450078,1,0,0
6470,0.655177,0.56331,0.272041,0.431562,1,0,0
6470,0.719271,0.405213,0.13246,0.103974,0,1,0
6470,0.648768,0.642359,0.244979,0.273465,0,0,1
1353,0.303846,0.468269,0.126923,0.35,1,0,0
277,0.615809,0.524083,0.17751,0.422608,1,0,0
277,0.671142,0.351029,0.060903,0.070559,0,1,0
277,0.579415,0.418616,0.101753,0.124034,0,0,1
277,0.545993,0.563076,0.260695,0.424837,1,0,0
277,0.482862,0.40859,0.129976,0.109923,0,1,0
277,0.550821,0.641804,0.129234,0.190137,0,0,1
277,0.789977,0.578673,0.224302,0.395128,1,0,0
277,0.828227,0.599469,0.086898,0.274807,0,0,1
4236,0.260832,0.442808,0.107452,0.334489,1,0,0
7181,0.782971,0.548656,0.192061,0.229193,0,1,0
7181,0.481434,0.28041,0.067862,0.071703,0,1,0
7181,0.401408,0.251601,0.051216,0.037132,0,1,0
7181,0.547375,0.652369,0.28169,0.254802,0,0,1
7181,0.421255,0.415493,0.111396,0.18822,0,0,1
7181,0.404609,0.318182,0.080666,0.083227,0,0,1
7181,0.645327,0.606274,0.477593,0.346991,1,0,0
7181,0.43854,0.446223,0.151088,0.40589,1,0,0
7181,0.580026,0.466709,0.1242,0.40589,1,0,0
7181,0.409731,0.409091,0.072983,0.364917,1,0,0
4793,0.431818,0.410934,0.163391,0.340295,1,0,0
4463,0.260341,0.425182,0.085158,0.33455,1,0,0
4463,0.385036,0.414842,0.125304,0.350365,1,0,0
1935,0.335,0.589949,0.196375,0.371289,1,0,0
1935,0.313547,0.397711,0.136969,0.181516,1,0,0
5620,0.498782,0.549939,0.221681,0.417783,1,0,0
255,0.492578,0.485938,0.152344,0.415625,1,0,0
255,0.492188,0.322266,0.078125,0.082031,0,1,0
255,0.542578,0.435937,0.024219,0.125,0,0,1
255,0.579688,0.446875,0.114062,0.414063,1,0,0
255,0.576172,0.275,0.064844,0.065625,0,1,0
255,0.574609,0.389453,0.096094,0.161719,0,0,1
255,0.792188,0.6125,0.298438,0.334375,1,0,0
255,0.793359,0.668359,0.288281,0.213281,0,0,1
4662,0.56071,0.559691,0.333739,0.429431,1,0,0
4662,0.390235,0.428926,0.149942,0.401664,1,0,0
301,0.597612,0.478777,0.204991,0.373589,1,0,0
301,0.6626,0.32949,0.070559,0.070559,0,1,0
301,0.568275,0.46318,0.140374,0.184938,0,0,1
301,0.681911,0.577559,0.290404,0.409239,1,0,0
301,0.694537,0.608382,0.25921,0.276292,0,0,1
3265,0.437959,0.439427,0.147577,0.433921,1,0,0
639,0.195703,0.58125,0.125781,0.148438,0,1,0
639,0.300391,0.714453,0.269531,0.133594,0,0,1
639,0.283203,0.642578,0.313281,0.285156,1,0,0
316,0.596503,0.477606,0.209736,0.368266,1,0,0
316,0.666649,0.334158,0.065236,0.074355,0,1,0
316,0.564236,0.463577,0.13959,0.18729,0,0,1
316,0.678925,0.57581,0.283389,0.406145,1,0,0
316,0.685939,0.613338,0.262346,0.280584,0,0,1
2043,0.338983,0.498917,0.11087,0.342806,1,0,0
2052,0.341119,0.507762,0.12249,0.33471,1,0,0
921,0.327344,0.640234,0.2875,0.288281,1,0,0
921,0.305469,0.416797,0.123438,0.321094,1,0,0
1029,0.278125,0.473438,0.135937,0.339062,1,0,0
4751,0.406634,0.388206,0.164619,0.329238,1,0,0
4751,0.533784,0.593366,0.251843,0.353808,1,0,0
2547,0.320779,0.485714,0.144156,0.402597,1,0,0
2547,0.287662,0.581169,0.335065,0.401299,1,0,0
7284,0.826504,0.607554,0.245839,0.339309,1,0,0
4744,0.436652,0.405421,0.149379,0.373702,1,0,0
4744,0.735579,0.614263,0.410876,0.326144,1,0,0
594,0.825,0.622266,0.234375,0.285156,0,0,1
594,0.811719,0.609766,0.279687,0.353906,1,0,0
4637,0.599125,0.538712,0.321913,0.46294,1,0,0
4637,0.277543,0.432344,0.111852,0.314024,1,0,0
4562,0.602706,0.579931,0.384532,0.404087,1,0,0
4562,0.415317,0.393766,0.173595,0.326957,1,0,0
4562,0.419646,0.316609,0.148789,0.128028,0,0,1
